,Content,label
0,It just works!,0
1,"В целом удобноное приложение...из минусов хотят слишком большой доступ к персональным данным в телефоне,приходится пользоваться в ограниченном режиме",0
2,Отлично все,0
3,Стал зависать на 1% работы антивируса. Дальше никуда. Ранее больше года пользовался нормально.,0
4,"Очень удобно, работает быстро.",0
5,Всё удобно норм 👍👍👍,0
6,Очень удобное приложение.,0
7,Все устраивает,0
8,"У меня работает все четко. В отличии от банкоматов, которые вечно зависают и тупят",0
9,Очень все хорошо👍,0
10,Все ок!,0
11,"Все нормально, кроме того что уведомление нельзя удалять!!!!!!!!",0
12,"Не стартует без доступа к gps, sms, звонкам и адресной книге. Филиал фсб одним словом",0
13,"Очень удобно, работает замечательно, подвисаний нет.",0
14,Очень удобно,0
15,Очень удобная штука,0
16,Отличное приложение,0
17,Удобно практично,0
18,"Очень удобное приложение, для оплаты платежей и переводов",0
19,Удобно и быстро,0
20,"Очень удобное приложение, вот можно было бы транспортные карты пополнять через приложение, так вообще замечательно было бы.",0
21,"Жаль, что история ВСЕХ движений под семью замками",0
22,Хорошее приложение,0
23,Удобно и без лишних хлопот,0
24,Полезное,0
25,При заходе дважды требует пароль.и на оплате электроэнергии виснет намертво на первом листе списка и висит загрузка вечно (,0
26,"Всё хорошо запустились, Спасибо вам большое.",0
27,Если бы ещё сбербанк так же отлично работал в живую!.. ),0
28,"Очень удобно, спасибо.",0
29,Платежи работают как швейцарские часы!,0
30,Супер,0
31,"Быстро,комфортно",0
32,Очень удобно,0
33,Не работает поиск по наименованию служб,0
34,Молодцы,0
35,Круто,0
36,Хорошечно!,0
37,"Пользуюсь не долго, но на первый взгляд все удобно и не вызывает нареканий.",0
38,Мне удобно.,0
39,"Хорошее приложение,пользуюсь больше двух лет,нареканий нет",0
40,Все хорошо и мило,0
41,"Отличное приложение,работает на ура!,очень удобно .",0
42,Очень удобно,0
43,"Последнее обновление не устанавливается, после удаления программы и попытки повторной установки идет скачивание затем установка и.т.д. без конца телефон ASUS Z00D - исправте пожалуйста... до этого успешное использование на этом устройстве долгое время",0
44,Норм,0
45,Не приходит смс не магу зайти,0
46,СУПЕР!!!,0
47,Всё просто и понятно,0
48,Очень удобное приложение,0
49,Меня все устраивает,0
50,Иногда приложение не открывает шаблон.,0
51,Очень удобно),0
52,Приложение супер,0
53,Отлично.Спасибо.,0
54,Буэ,0
55,"Довольно быстро, хорошо и не надо никуда ходить.",0
56,"Регулярно приходится два раза вводить пароль, чтобы войти в приложение",0
57,Очень удобное и практичное приложение. Всем советую,0
58,Удобно,0
59,"Раньше могла через приложение переводить деньги с карты на карту и закидывать деньги на мобильный телефон любых операторов, а сейчас этого в приложении сбербанка нету.",0
60,Долго загружается,0
61,Очень удобно спасибо вам,0
62,"Очень удобное приложение, помогает экономить время.",0
63,Удобное приложение,0
64,"Очень удобно, спасибо Сбербанк.",0
65,Спосиба,0
66,Очень приятно работает,0
67,Хорошее приложение,0
68,Все клёво,0
69,"УВ. Сбербанк. Устройство meizu mx5 со сканером отпечатков. Могу ли я настроить данное приложение на работу с ним, а не вводить пароль? Знаю что на Андроиде такое возможно",0
70,Лагает,0
71,Спасибо,0
72,Иногда бывают проблемы с входом в прогу... В целом довольна,0
73,Все ок,0
74,"Как же в него войти, если не приходит смс с кодом подтверждения?",0
75,При рабочем интернете приложение никак не может соединиться с сервером. Исправьте,0
76,"Самое лучшее приложение, по сравнению с аналогичным.",0
77,"Хорошее приложение. Подвисает, но очень редко.",0
78,Все супер,0
79,Спасибо сбербанка. маладец ребята. Благодарю вас за то что есть сбербанк и его придложения.,0
80,Просто и удобно,0
81,"Очень удобно,легко и сердито.",0
82,Все нравится.,0
83,"В целом доволен, несмотря на иногда возникающие сбои связи с сервером",0
84,Очень удобное приложение,0
85,Хорошее приложения рекаминдую!!!,0
86,Супер!!!!!,0
87,"Удобное приложение, но есть глюки сильные. Иной раз не с первого раза получается зайти.",0
88,Все меньше возможности для оплаты иных ресурсов поэтому одна звезда и еще свои мутные услуги навязывают,0
89,Всё гуд !,0
90,Ок,0
91,Работает нормально,0
92,Я довольна.,0
93,Отлично,0
94,Все круто,0
95,Всё отлично,0
96,Неплохое приложение только бы загрузку побыстрей,0
97,Пока что все отлично работает,0
98,Быстро удобно,0
99,Отличное приложение,0
100,Удобно пользоваться и контролировать свои расходы,0
101,"Шикарное приложение, никаких лагов",0
102,Замечательное приложение,0
103,Медленно,0
104,Отличное приложение. Нареканий нет.,0
105,Хорошо!,0
106,"Замечательно, очень удобно. Спасибо!",0
107,Молодцы,0
108,Все бы не чего но не пойму как накапливать баллы спасибо,0
109,Просто и понятно и удобно,0
110,Хорошее приложение,0
111,Все норм,0
112,Хорошо было бы оптимизировать приложение.А то иногда тупит.,0
113,"Только что скачала и не могу зарегистрироваться, так как не приходят сообщения с паролем. Плюс почему-то приложение не показывается в списке запущенных приложений, приходится каждый раз в меню заходить.",0
114,"После последнего обновления не заходит с первого раза, выдаёт ошибку сервера. Раньше было нормально.",0
115,Класс,0
116,"Стильный интерфейс не помешал функциональности. Все необходимое для управления финансами есть , программа не зависает и работает корректно даже на старых телефонах (Nexus5). Всем рекомендую.",0
117,"Всё отлично, хорошая программа",0
118,"Одним словом, удобно. Здорово, что можно выполнять операции с деньгами, не выходя из дома. Работает без лагов (по крайней мере, у меня), деньги всегда переводились сразу. Рэкомэндую",0
119,Очень удобно!,0
120,Очень удобное приложение,0
121,Норм все,0
122,Очень удобно! Не выходя из дома.,0
123,Удобно,0
124,Спасибо за помощь !,0
125,Пользуюсь и очень довольна.спасибо разработчикам,0
126,"3 раза пыталась зарегится, и не разу не пришло смс сообщение с кодом . Чините.",0
127,Приложение работает быстро. Операции с переводами денежных средств удобны и быстры. Легко и удобно просматривать историю платежей.,0
128,Все супер,0
129,Super,0
130,Rrrr,0
131,"Хорошее приложение, удобное, мне нравится.",0
132,"Все прекрасно, кроме ввода пин-кода два раза, возможно так и надо, но процесс тормозит. Спасибо, Сбербанк.",0
133,Очень удобно,0
134,Ррр,0
135,"всё очень круто,спасибо!!!",0
136,Быстро. Удобно,0
137,"После ввода кода, требует код ещё раз. А сообщение уже после первого раза приходит о входе",0
138,Классс,0
139,Удобно,0
140,Пишет не оригинальная прошивка,0
141,"Хотелось бы, чтобы была функция как в онлайн-банке Тинькофф, сменить пин прямо в приложении (а то бывает такое, что пин забывается)",0
142,Для входа приходится вводить пароль 2 раза. При первом вводе приложение пытается зайти но снова вылетает на окно ввода. И так постоянно. Пропала кнопка для входа со сканером отпечатка. Устройство Xiaomi. И так на всех моих android устройствах,0
143,Огонь вода,0
144,"Не много долговато грузится а в остальном доволен, хорошее приложение",0
145,Почему список уведомлений доступен без регистрации и его невозможно очистить? Когда добавите платежи через приложение с помощью NFC? В приложении не видна переписка с банком.,0
146,. Всегда выручает.,0
147,"Пользуюсь приложением, удобно!",0
148,Отлично,0
149,"Хорошее приложение, но «антивирус» очень загружает систему.",0
150,Хорошая,0
151,"Не могу подключить, т. к .не приходит смс с кодом, три попытки было и приложение выкидывает в начало и по новой нужно начинать.",0
152,"Очень удобное, операции проходчт быстро и точно ) Красивый интерфейс!",0
153,"Сделайте возможность помечать все уведомления как прочитанные. Сейчас в списке уведомлений непонятно, какое из них прочитано, а какое нет (т.е. не прочитанные не выделены жирным шрифтом или еще как-то). Значок о непрочитанных уведомлениях висит над иконкой приложения и раздражает.",0
154,Супер,0
155,"Очень нравится. Быстро, удобно. Огромное спасибо!",0
156,Ппроль не приходит по смс,0
157,Доволен,0
158,Отлично!,0
159,Очень доволен Спасибо большое,0
160,"Жрет батарею в фоновом режиме, то есть загружает процессор в выключенном состоянии.",0
161,"Ставлю 5. Все удобно! Минус, в том что нет или я ненашел вывод на интернет кошельки",0
162,Уже который месяц не исправлена ошибка корректности суммы по остатку задолженности в платежах в службу судебных приставов. Прошу принять меры.,0
163,очень удобно,0
164,Удобно,0
165,Надёжность и удобно,0
166,Бесполезный софт! У кого root работать не будет!,0
167,Хорошее приложение.Очень удобно всё оплачивать онлайн.,0
168,Всё устраивает,0
169,"Глючит на системе андроид. Вход в приложение осуществляется со второго раза. Приходит смс, что вход выполнен, но опять спрашивает пароль. Со второй попытки вход срабатывает. Делаю вывод, что это из-за двухсимочного телефона. На приложении IOS на ipad работает хорошо, но закрыть он-лайн счета в ipad невозможно.",0
170,Обновите приложение до нового дизайна как на iOS,0
171,Работает быстро,0
172,Очень хорошее приложение,0
173,Очень нравиться большая экономия времени не нужно часто ходить в банк,0
174,"Хорошее приложение, часто выручает",0
175,Очень удобное приложение лично для меня,0
176,"Всё работает, всё устраивает",0
177,Почему я несколько дней пытаюсь зарегистрироваться? Он просто не присылает мне код на номер.,0
178,Спасибо,0
179,Азат Азиатов Все нармально!,0
180,"Очень удобное приложение. Производит быстрые переводы и отображает всю необходимую информацию. Жаль,что клиентам других банком перевод может идти до 3-5 дней. Но само наличие переводов в другие банки очень радует) так что спасибо, что Вы есть.",0
181,"При наличии рут прав не работает должным образом. Ограничен функционал. Приходится лезть в систему,чтобы обойти этот МИНУС. отсутствует минус. Почему то при вводе пароля, запрашивает его по 2-3 раза. Периодически жрет батарею. В остальном - нормально.",0
182,Отлично мне нравится,0
183,Спасибо. Очень удобно и просто.,0
184,"Всё удобнее и удобнее, но размер не радует.",0
185,Все отлично. Я очень довольна,0
186,Круто,0
187,Работает без проблем,0
188,Очень удобно!,0
189,"Удобно, практично, и, пока, без нареканий.",0
190,Доволен как слон!удобно!,0
191,"Всё нравится,удобно.",0
192,👍👍,0
193,Иногда вылетает,0
194,Очень удобно. Мне все нравится : и интерфейс и скорость работы системы. Но нет предела совершенству ))),0
195,Дашурик,0
196,Супер дизайн,0
197,Очень удобное приложение!!!,0
198,Нужное приложение. Помогает и экономит время.,0
199,Прикольно теперь только телефон и все,0
200,Работает,0
201,"У меня ещё 600мб свободного место, а всё равно не могу скачать, выдает ""недостаточно мест""",0
202,Отличная идея,0
203,Все шикарно и удобно,0
204,Все гуд,0
205,Не проходит регистрация,0
206,Все класна,0
207,Все хорошо,0
208,Пользуясь часто. Удобно,0
209,Всё хорошо,0
210,Работает. Удобно.,0
211,Хорошо,0
212,"Удобно. Приятно, когда не заходишь на сайт. Но у меня иногда долго загружает приложение, а так все работает прекрасно.",0
213,Молодцы!!!!!,0
214,Очень удобно,0
215,Очень удобно,0
216,"Приложение хорошее, снизил балл за отношению к Сбербанку в целом",0
217,Шикарно .только начал пользоваться. удобно.,0
218,Удобно очень,0
219,"Приятный дизайн, пока нареканий, посмотрим как дальше себя покажет",0
220,"Очень удобно, пользуюсь год проблем нет",0
221,Удобно и быстро,0
222,Удобно,0
223,Очень удобно когда не дома,0
224,"Все просто отлично, но очень сильно высаживает телефон.",0
225,"Приложение хорошее,но иногда вылетает",0
226,Хорошее приложение. Всё удобно и быстро,0
227,"Из за рут прав,",0
228,Удобно,0
229,Всё очень удобно. Я довольна.,0
230,Доволен,0
231,И как раньше жили),0
232,Круто,0
233,👍👍👍,0
234,Работает отлично все нравится,0
235,Все по делу.Ничего лишнего!,0
236,Очень нужное и полезное приложение!,0
237,"Приложение отличное, но уже два дня не открывается, пишет инициализация антивируса. Подскажите, что делать?!",0
238,Вы там охренели что ли? Программа распознаёт половину приложений как вирус и требует удаления,0
239,Очень удобное приложение),0
240,Отлично,0
241,Без этого приложения как без рук...,0
242,Преложение очень удобное,0
243,"Очень удобное приложение, все быстро, спасибо",0
244,"Проблемы с root правами решена, сбербанк онлайн отлично работает! Спасибо",0
245,Предложение постоянно виснет!!!,0
246,Удобное приложение,0
247,I'm satisfied with this app,0
248,Находясь в приложении раздрожают уведомления . Есть только возможность переключить с смс на пуш и наоборот. Было бы хорошо вставить полное отключение уведомлений при нахождении в приложении,0
249,Всё круто ! Молодцы!,0
250,История плохо обновляется... Не все операции с деньгами показывает,0
251,"Fly numbus3: приложение не скачивается, выдает ошибку. Крайне не довольна",0
252,Отлично..все удобно.,0
253,Отличное приложение. Все просто и понятно)),0
254,Удобно и легко!),0
255,Хорошее приложение. Удобно.,0
256,Супер удобно,0
257,Отлично,0
258,Отлично,0
259,Всё хорошо,0
260,Отличное предложение,0
261,Удобно и просто.,0
262,Очень крутое приложение,0
263,"Приложение хорошее, устанавливала на 3-х разных телефонах,минус 2 звезды за то что не могу зайти в приложение на новом телефоне, пишит что не возможно зарегистрироваться, отключите мобильное приложение хотя бы на одном устройстве, как я могу отключить если все 3 телефона не работают.",0
264,Удобно,0
265,Не могу даже зайти в программу,0
266,Все прекрасно работает,0
267,Отличное приложение!,0
268,Отличное приложение,0
269,Все здорого все удобно спасибо вам,0
270,Отличное приложение,0
271,"Захожу в приложение ввожу два раза пароль, что за фигня? И СМС не приходит либо с большим опозданием.",0
272,Все нравится,0
273,Удобно. Надёжно. Быстро.,0
274,Приходится дважды вводить пароль.,0
275,"Приложение обнаружило файл с крэком для игры. Файл не был запущен, уже удален. Даю приложению разрешение удалить. Результата ноль. Что за фигня-то? Почему не перезапускает проверку? Перезагрузка телефона не помогает. Что делать дальше?",0
276,👍👍👍,0
277,"Приложение с удобным функционалом, но есть небольшие проблемы, при попытке перевести деньги на счёт в другом банке выдает сообщение о том, что перевод на этот счет не возможен, запрещенный счёт, но если ту же самую операцию делать через сайт сбербанка, то таких проблем не возникнет.",0
278,Очень удобно .,0
279,"Удобно, быстро, надёжно",0
280,Хороший сбербанк,0
281,Збс,0
282,Все устраивает,0
283,"Все хорошо и рационально в приложении и на моей китайской тапочке за 3тыр работает отлично.. Одно немного напрягает, почему-то при входе два раза спрашивает пароль",0
284,Круто,0
285,Очень удобное приложение.,0
286,Удобно,0
287,Отлично работает!,0
288,Отлично работает,0
289,Истекла лицензия пишет !!,0
290,"Нестабильная работа, ввод пароля необходим 2 раза",0
291,После обновления стало работать хуже намного,0
292,Спасибо все норм.,0
293,Отлично,0
294,"Невозможно зайти в приложение. Выдает плохое соединение с сетью. Бред, другие приложения прекрасно грузятся. Дерьмо!!!",0
295,Спасибо за сервис. Все быстро и качественно. А главное понятно,0
296,Не смог скачать!,0
297,"все очень удобно. проверяет постоянно на вирус, ""косо смотрит"" на navitel ))). нареканий нет.👍",0
298,Хорошее приложение. Все просто понятно и удобно. Бесит только необходимость вводить пароль 2 раза почти всегда. Не знаю с чем это связано.,0
299,На отлично,0
300,Хорошее приложение,0
301,Очень удобно,0
302,Всё прекрасно спасибо.,0
303,Окей,0
304,Очень удобно,0
305,"Все наглядно и понятно, больше ничего и не нужно!",0
306,"Быстро ,удобно и просто. Отличное приложение!",0
307,Хорошая и очень удобная программа но по палате кредита в другой банк надо до работать,0
308,Очень удобно,0
309,"Удобно,круто",0
310,"Два дня не могу зайти, не открывает",0
311,Отличное приложение сплошная экономия времени😎,0
312,Отличное приложение!,0
313,Удобное,0
314,"Весьма доволен. Удобно, просто, быстро",0
315,Хорошее приложение,0
316,"В целом хорошо, но есть над чем поработать.",0
317,"Добрый день, почему в ""мой помощник"" не добавляются покупки по карте, только при оплате через androidpay. Приходится в ручном режиме добавлять.",0
318,"Один раз уже поставил 5звёзд, чтобы больше не вылезало назойловое сообщение с просьбой оценить приложение. Недавно опять стало вылезать, видимо из-за обновления. При чём зачем то сделали три кнопки ответа, из которых две откладывают этот запрос на время, а одна даёт согласие. Кнопка «нет» должна закрывать это сообщение навсегда, значит я НЕ ХОЧУ оценивать его. Снижаю оценку до 3 звёзд. Честно заслужили, считаю. Хотя, в целом приложение постоянно выручает, обидно только что с рутом функционал урезанный.",0
319,"У меня кастомная прошивка из за чего я не могу пользоваться этой программой. Но вы же гордитесь собой и вашим антивирусом. Так сделайте способ, чтоб рут и кастом проходил проверку. Или вам слабо?",0
320,Всё ок.,0
321,"Скачивал два раза это приложение,каждый раз после загрузки,загрузка начиналась по новой,что за уйня?",0
322,Ето супер приложение спасибо вам разработчики 👍👍👍👍,0
323,Отлично,0
324,Удобно и оперативно.,0
325,Спасибо за удобства,0
326,Сбербанк всегда рядом! Очень удобное приложение...,0
327,"Удобное приложение, спасибо Сбербанку",0
328,"Теперь все в порядке. Ранее были такие проблемы: Как и у многих пользователей пишет, что нет интернета. Проверка рут прав кривая. Отключил root, ни одна другая программа не видит рут, а эта ругается. И не нужна вовсе. Жрет много ресурсов и т.д. И ещё - Зачем вам список моих звонков, контакты, смс и прочая конфиденциальная информация? При игнорировании снесу через неделю. Обновился, было Ок, теперь опять траблы...",0
329,Всё отлично,0
330,Отличное приложение! ОЧЕНЬ УДОБНОЕ!,0
331,Работает,0
332,"Улучшения заметны,при вводе кода ни сразу открывается ,приходится набирать код снова. А так не плохо .",0
333,Oтлично!,0
